   ,Name                   ,Occupation                                        ,Address                                           ,Assignment                                                                                                                                        ,Party      ,Phone Number ,District      ,Counties                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Email
10 ,Jeff Bridges           ,Legislator                                        ,"200 E ColfaxRMDenver, CO 80203United States"     ,Appropriations; Joint Budget Committee                                                                                                            ,Democrat   ,303-866-4846 ,['26']        ,"['Arapahoe, Jefferson, Denver']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,jeff.bridges.senate@coleg.gov
11 ,Kyle Brown             ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Health & Human Services; State, Civic, Military, & Veterans Affairs"                                                                             ,Democrat   ,303-866-2920 ,['12']        ,"['Boulder, Broomfield']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,kyle.brown.house@coleg.gov
12 ,Janet Buckner          ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Education; Finance                                                                                                                                ,Democrat   ,303-866-3432 ,['29']        ,['Arapahoe']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,janet.buckner.senate@coleg.gov
13 ,Marc Catlin            ,Legislator                                        ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Agriculture, Water & Natural Resources; Capital Development Committee; Transportation, Housing & Local Government"                               ,Republican ,303-866-2955 ,['58']        ,"['Delta, Gunnison, Montezuma, Ouray, Dolores, Hinsdale, Montrose, San Miguel']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,marc.catlin.house@coleg.gov
14 ,Chad Clifford          ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Business Affairs & Labor                                                                                                                          ,Democrat   ,303-866-5510 ,['37']        ,['Arapahoe']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,chad.clifford.house@coleg.gov
15 ,James Coleman          ,Legislator                                        ,"200 E ColfaxRM 346Denver, CO 80203United States" ,"State, Veterans, & Military Affairs; Appropriations; Legislative Council; Business, Labor, & Technology"                                         ,Democrat   ,303-866-4864 ,['33']        ,['Denver']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,james.coleman.senate@coleg.gov
16 ,Lisa Cutter            ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Transportation & Energy; Health & Human Services                                                                                                  ,Democrat   ,303-866-4859 ,['20']        ,['Jefferson']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,lisa.cutter.senate@coleg.gov
17 ,Jessie Danielson       ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,"Agriculture & Natural Resources; Business, Labor, & Technology"                                                                                  ,Democrat   ,303-866-4856 ,['22']        ,['Jefferson']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,jessie.danielson.senate@coleg.gov
18 ,Lindsey Daugherty      ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Health & Human Services; Committee on Legal Services                                                                                              ,Democrat   ,303-866-2950 ,['24']        ,"['Adams, Jefferson']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,lindsey.daugherty.house@coleg.gov
19 ,Ken DeGraaf            ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Energy & Environment; State, Civic, Military, & Veterans Affairs"                                                                                ,Republican ,303-866-2927 ,['22']        ,['El Paso']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,ken.degraaf.house@coleg.gov
20 ,Chris deGruy Kennedy   ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Finance; Legislative Council                                                                                                                      ,Democrat   ,303-866-2951 ,['30']        ,['Jefferson']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,chris.kennedy.house@coleg.gov
21 ,Monica Duran           ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Executive Committee of the Legislative Council; Legislative Council                                                                               ,Democrat   ,303-866-5522 ,['23']        ,['Jefferson']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,monica.duran.house@coleg.gov
22 ,Regina English         ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Business Affairs & Labor; Health & Human Services                                                                                                 ,Democrat   ,303-866-3069 ,['17']        ,['El Paso']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,regina.english.house@coleg.gov
23 ,Elisabeth Epps         ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"State, Civic, Military, & Veterans Affairs; Statutory Revision Committee"                                                                        ,Democrat   ,303-866-2911 ,['6']         ,['Denver']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,elisabeth.epps.house@coleg.gov
24 ,Gabe Evans             ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Energy & Environment; Legislative Audit Committee; Judiciary                                                                                      ,Republican ,303-866-2943 ,['48']        ,"['Adams, Weld']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,gabe.evans.house@coleg.gov
25 ,Tony Exum              ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Local Government & Housing; Transportation & Energy                                                                                               ,Democrat   ,303-866-6364 ,['11']        ,['El Paso']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,tony.exum.senate@coleg.gov
26 ,Steve Fenberg          ,                                                  ,"200 E ColfaxDenver, CO 80203United States"       ,Executive Committee of the Legislative Council; Legislative Council; Capitol Building Advisory Committee                                          ,Democrat   ,303-866-4872 ,['18']        ,['Boulder']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,stephen.fenberg.senate@coleg.gov
27 ,Rhonda Fields          ,Legislator                                        ,"200 E ColfaxRMDenver, CO 80203United States"     ,Health & Human Services; Education                                                                                                                ,Democrat   ,303-866-4879 ,['28']        ,"['Adams, Arapahoe']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,rhonda.fields.senate@coleg.gov
28 ,Lisa Frizell           ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Legislative Audit Committee; Appropriations; Finance; Business Affairs & Labor; Transportation, Housing & Local Government"                      ,Republican ,303-866-2948 ,['45']        ,['Douglas']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,lisa.frizell.house@coleg.gov
29 ,Meg Froelich           ,Legislator                                        ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Transportation, Housing & Local Government; Energy & Environment"                                                                                ,Democrat   ,303-866-2921 ,['3']         ,"['Arapahoe, Denver']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,meg.froelich.house@coleg.gov
30 ,Lorena Garcia          ,Legislator                                        ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Finance; Judiciary                                                                                                                                ,Democrat   ,303-866-2964 ,['35']        ,"['Adams, Jefferson']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,lorena.garcia.house@coleg.gov
31 ,Bob Gardner            ,                                                  ,"200 E ColfaxRMDenver, CO 80203United States"     ,Committee on Legal Services; Appropriations; Legislative Council; Judiciary                                                                       ,Republican ,303-866-4880 ,['12']        ,"['El Paso, Teller']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,bob.gardner.senate@coleg.gov
32 ,Joann Ginal            ,Reproductive Endocrinologist                      ,"200 E ColfaxRM 346Denver, CO 80203United States" ,"Health & Human Services; Business, Labor, & Technology; Statutory Revision Committee"                                                            ,Democrat   ,303-866-4841 ,['14']        ,['Larimer']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,joann.ginal.senate@coleg.gov
33 ,Julie Gonzales         ,Senator                                           ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Judiciary; Local Government & Housing; Appropriations; Legislative Audit Committee; Committee on Legal Services                                   ,Democrat   ,303-866-4862 ,['34']        ,['Denver']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,julie.gonzales.senate@coleg.gov
34 ,Eliza Hamrick          ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Pension Review Subcommittee; Education; Health & Human Services                                                                                   ,Democrat   ,303-866-3706 ,['61']        ,"['Arapahoe, Douglas']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,eliza.hamrick.house@coleg.gov
35 ,Chris Hansen           ,Non-Profit Director                               ,"200 E ColfaxRMDenver, CO 80203United States"     ,"Appropriations; Joint Technology Committee; Committee on Legal Services; Legislative Council; Finance; State, Veterans, & Military Affairs"      ,Democrat   ,303-866-4861 ,['31']        ,['Denver']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,chris.hansen.senate@coleg.gov
36 ,Anthony Hartsook       ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Education; Legislative Council; Finance                                                                                                           ,Republican ,303-866-2933 ,['44']        ,['Douglas']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,anthony.hartsook.house@coleg.gov
37 ,Tim Hernandez          ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Health & Human Services                                                                                                                           ,Democrat   ,303-866-2954 ,['4']         ,['Denver']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,tim.hernandez.house@coleg.gov
38 ,Leslie Herod           ,Legislator                                        ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Appropriations; Judiciary                                                                                                                         ,Democrat   ,303-866-2959 ,['8']         ,['Denver']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,leslie.herod.house@coleg.gov
39 ,Nick Hinrichsen        ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,"Business, Labor, & Technology; Capital Development Committee; Statutory Revision Committee; Transportation & Energy"                             ,Democrat   ,303-866-4878 ,['3']         ,['Pueblo']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,nick.hinrichsen.senate@coleg.gov
40 ,Richard Holtorf        ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Agriculture, Water & Natural Resources; Health & Human Services"                                                                                 ,Republican ,303-866-2398 ,['63']        ,"['Logan, Phillips, Washington, Yuma, Morgan, Sedgwick, Weld']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,richard.holtorf.house@coleg.gov
41 ,Sonya Jaquez Lewis     ,Pharmacist                                        ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Health & Human Services; Local Government & Housing                                                                                               ,Democrat   ,303-866-5291 ,['17']        ,"['Boulder, Weld, Broomfield']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,sonya.jaquez.lewis.senate@coleg.gov
42 ,Iman Jodeh             ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Appropriations; Transportation, Housing & Local Government; Legislative Council"                                                                 ,Democrat   ,303-866-2919 ,['41']        ,['Arapahoe']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Iman.Jodeh.house@coleg.gov
43 ,Junie Joseph           ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Finance; Energy & Environment                                                                                                                     ,Democrat   ,303-866-2915 ,['10']        ,['Boulder']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,junie.joseph.house@coleg.gov
44 ,Cathy Kipp             ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Energy & Environment; Finance                                                                                                                     ,Democrat   ,303-866-4569 ,['52']        ,['Larimer']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,cathy.kipp.house@coleg.gov
45 ,Barbara Kirkmeyer      ,Legislator                                        ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Appropriations; Joint Budget Committee                                                                                                            ,Republican ,303-866-4876 ,['23']        ,"['Larimer, Weld']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,barbara.kirkmeyer.senate@coleg.gov
46 ,Chris Kolker           ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Finance; Pension Review Subcommittee; Education                                                                                                   ,Democrat   ,303-866-4883 ,['16']        ,"['Arapahoe, Jefferson']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,chris.kolker.senate@coleg.gov
47 ,Sheila Lieder          ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Business Affairs & Labor; Health & Human Services                                                                                                 ,Democrat   ,303-866-2939 ,['28']        ,['Jefferson']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,sheila.lieder.house@coleg.gov
48 ,Mandy Lindsay          ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Transportation, Housing & Local Government; Agriculture, Water & Natural Resources; Capital Development Committee"                               ,Democrat   ,303-866-3911 ,['42']        ,['Arapahoe']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,mandy.lindsay.house@coleg.gov
49 ,William Lindstedt      ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Business Affairs & Labor; Finance; Capitol Building Advisory Committee; Legislative Audit Committee                                               ,Democrat   ,303-866-4667 ,['33']        ,"['Adams, Weld, Broomfield']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,william.lindstedt.house@coleg.gov
50 ,Larry Liston           ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,"Appropriations; Pension Review Subcommittee; Business, Labor, & Technology; State, Veterans, & Military Affairs"                                 ,Republican ,303-866-2737 ,['10']        ,['El Paso']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,larry.liston.senate@coleg.gov
51 ,Stephanie Luck         ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Appropriations                                                                                                                                    ,Republican ,303-866-2905 ,['60']        ,"['Chaffee, Fremont, Teller, Custer, Pueblo']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,stephanie.luck.house@coleg.gov
52 ,Meghan Lukens          ,Teacher                                           ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Agriculture, Water & Natural Resources; Legislative Council; Education"                                                                          ,Democrat   ,303-866-2923 ,['26']        ,"['Eagle, Rio Blanco, Moffat, Routt']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,meghan.lukens.house@coleg.gov
53 ,Paul Lundeen           ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Education; Legislative Council; Executive Committee of the Legislative Council                                                                    ,Republican ,303-866-4835 ,['9']         ,['El Paso']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,paul.lundeen.senate@coleg.gov
54 ,Mike Lynch             ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Agriculture, Water & Natural Resources; Business Affairs & Labor"                                                                                ,Republican ,303-866-2907 ,['65']        ,"['Larimer, Weld']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,mike.lynch.house@coleg.gov
55 ,Javier Mabrey          ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Business Affairs & Labor; Judiciary; Committee on Legal Services                                                                                  ,Democrat   ,303-866-2966 ,['1']         ,"['Denver, Jefferson']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,javier.mabrey.house@coleg.gov
56 ,Janice Marchman        ,Teacher                                           ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Education; Agriculture & Natural Resources                                                                                                        ,Democrat   ,303-866-4853 ,['15']        ,"['Boulder, Larimer']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,janice.marchman.senate@coleg.gov
57 ,Bob Marshall           ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Finance                                                                                                                                           ,Democrat   ,303-866-2936 ,['43']        ,['Douglas']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,bob.marshall.house@coleg.gov
58 ,Matthew Martinez       ,Higher Education                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Education; Agriculture, Water & Natural Resources"                                                                                               ,Democrat   ,303-866-2916 ,['62']        ,"['Alamosa, Costilla, Mineral, Rio Grande, Conejos, Huerfano, Pueblo, Saguache']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,matthew.martinez.house@coleg.gov
59 ,Julia Marvin           ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Agriculture, Water & Natural Resources"                                                                                                          ,Democrat   ,303-866-2918 ,['31']        ,['Adams']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,julia.marvin.house@coleg.gov
60 ,Tisha Mauro            ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Business Affairs & Labor; Transportation, Housing & Local Government"                                                                            ,Democrat   ,303-866-2968 ,['46']        ,['Pueblo']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,tisha.mauro.house@coleg.gov
61 ,Julie McCluskie        ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Executive Committee of the Legislative Council; Legislative Council                                                                               ,Democrat   ,303-866-2952 ,['13']        ,"['Chaffee, Jackson, Park, Grand, Lake, Summit']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Julie.Mccluskie.house@coleg.gov
62 ,Karen McCormick        ,Veterinarian                                      ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Agriculture, Water & Natural Resources; Health & Human Services"                                                                                 ,Democrat   ,303-866-2780 ,['11']        ,['Boulder']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,karen.mccormick.house@coleg.gov
63 ,Barbara McLachlan      ,Legislator                                        ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Education; Statutory Revision Committee; Agriculture, Water & Natural Resources"                                                                 ,Democrat   ,303-866-2914 ,['59']        ,"['Archuleta, Montezuma, La Plata, San Juan']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,barbara.mclachlan.house@coleg.gov
64 ,Dafna Michaelson Jenet ,                                                  ,"200 E ColfaxDenver, CO 80203United States"       ,Health & Human Services; Legislative Audit Committee; Judiciary                                                                                   ,Democrat   ,303-866-4857 ,['21']        ,"['Adams, Arapahoe']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,dafna.michaelson.jenet.senate@coleg.gov
65 ,Kyle Mullica           ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Finance; Capital Development Committee; Health & Human Services                                                                                   ,Democrat   ,303-866-4451 ,['24']        ,['Adams']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,kyle.mullica.senate@coleg.gov
66 ,David Ortiz            ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Health & Human Services                                                                                                                           ,Democrat   ,303-866-2953 ,['38']        ,"['Arapahoe, Jefferson']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,David.Ortiz.house@coleg.gov
67 ,Jennifer Lea Parenti   ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Joint Technology Committee; Transportation, Housing & Local Government; State, Civic, Military, & Veterans Affairs"                              ,Democrat   ,303-866-2924 ,['19']        ,"['Boulder, Weld']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,jennifer.parenti.house@coleg.gov
68 ,Byron Pelton           ,Electrician / Rancher                             ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Statutory Revision Committee; Agriculture & Natural Resources; Local Government & Housing; Capital Development Committee; Transportation & Energy ,Republican ,303-866-6360 ,['1']         ,"['Logan, Phillips, Washington, Yuma, Morgan, Sedgwick, Weld']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,byron.pelton.senate@coleg.gov
69 ,Rod Pelton             ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Agriculture & Natural Resources; Local Government & Housing; Legislative Audit Committee                                                          ,Republican ,303-866-4884 ,['35']        ,"['Baca, Cheyenne, El Paso, Huerfano, Kit Carson, Lincoln, Prowers, Bent, Crowley, Elbert, Kiowa, Las Animas, Otero']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,rod.pelton.senate@coleg.gov
70 ,Kevin Priola           ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Joint Technology Committee; Transportation & Energy; Agriculture & Natural Resources; Appropriations                                              ,Democrat   ,303-866-4855 ,['13']        ,"['Adams, Weld']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,kevin.priola.senate@coleg.gov
71 ,Rose Pugliese          ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Education; Legislative Council; Executive Committee of the Legislative Council; Statutory Revision Committee                                      ,Republican ,303-866-2965 ,['14']        ,['El Paso']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,rose.pugliese.house@coleg.gov
72 ,Janice Rich            ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Education; Local Government & Housing; Health & Human Services; Statutory Revision Committee                                                      ,Republican ,303-866-3077 ,['7']         ,"['Delta, Mesa']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,janicerichsd7@gmail.com
73 ,Naquetta Ricks         ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Business Affairs & Labor; State, Civic, Military, & Veterans Affairs"                                                                            ,Democrat   ,303-866-2944 ,['40']        ,['Arapahoe']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Naquetta.Ricks.house@coleg.gov
74 ,Dylan Roberts          ,Attorney                                          ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Agriculture & Natural Resources; Judiciary; Committee on Legal Services                                                                           ,Democrat   ,303-866-4871 ,['8']         ,"['Clear Creek, Garfield, Grand, Moffat, Routt, Eagle, Gilpin, Jackson, Rio Blanco, Summit']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,dylan.roberts.senate@coleg.gov
75 ,Robert Rodriguez       ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Executive Committee of the Legislative Council; Legislative Council                                                                               ,Democrat   ,303-866-4852 ,['32']        ,"['Arapahoe, Jefferson, Denver']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,robert.rodriguez.senate@coleg.gov
76 ,Manny Rutinel          ,Attorney                                          ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Energy & Environment; State, Civic, Military, & Veterans Affairs"                                                                                ,Democrat   ,303-866-2945 ,['32']        ,['Adams']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,manny.rutinel.house@coleg.gov
